disease,source_url,verified_at
common cold,Pending Auto-Discovery,2025-11-30 11:33:22
common cold,Pending Auto-Discovery,2025-11-30 11:33:29
"""diarrhea""",Pending Auto-Discovery,2025-11-30 10:50:10
Malaria,https://www.who.int/health-topics/malaria,2025-11-30 11:15:30
malaria,https://www.who.int/health-topics/malaria,2025-11-30 11:22:56
malaria,https://www.who.int/health-topics/malaria,2025-11-30 11:26:45
malaria,https://www.who.int/health-topics/malaria,2025-11-30 11:31:04
malaria,https://en.wikipedia.org/wiki/Malaria,2025-11-30 10:50:22
dengue,https://www.who.int/health-topics/dengue,2025-11-30 11:29:06
dengue,https://www.who.int/health-topics/dengue,2025-11-30 11:38:00
zika,https://www.who.int/health-topics/zika,2025-11-30 10:46:56
zika,https://www.who.int/health-topics/zika,2025-11-30 10:50:06
zika,https://www.who.int/health-topics/zika,2025-12-29 23:38:26
zika,https://www.who.int/health-topics/zika,2025-12-29 23:38:26
dengue,https://www.who.int/health-topics/dengue,2025-12-29 23:38:29
Typhoid Fever,https://en.wikipedia.org/wiki/Typhoid_fever,2025-12-29 23:38:31
fever,https://en.wikipedia.org/wiki/Fever,2025-12-29 23:38:38
mump,https://en.wikipedia.org/wiki/Mumps,2025-12-29 23:35:19
zika,https://www.who.int/health-topics/zika,2026-01-01 21:40:24
zika,https://www.who.int/health-topics/zika,2026-01-01 21:40:24
dengue,https://www.who.int/health-topics/dengue,2026-01-01 21:40:25
Typhoid Fever,https://en.wikipedia.org/wiki/Typhoid_fever,2026-01-01 21:40:28
